contract_id,customer_id,start_date,end_date,status
CT001,C001,01/01/2025,01/01/2027,Active
CT002,C002,06/01/2025,07/10/2026,Active
CT003,C003,09/01/2026,01/28/2026,Active
CT004,C004,12/16/2026,09/07/2026,Active
CT005,C005,04/04/2026,08/03/2026,Active
CT006,C006,04/02/2026,11/30/2026,Active
CT007,C007,09/04/2026,06/09/2026,Active
CT008,C008,06/13/2026,07/15/2026,Active
CT009,C009,05/22/2026,05/05/2026,Active
CT010,C010,03/10/2026,06/04/2026,Active
CT011,C011,04/17/2026,01/01/2026,Active
CT012,C012,02/20/2026,08/26/2026,Active
CT013,C013,07/12/2026,04/13/2026,Active
CT014,C014,02/02/2026,06/18/2026,Active
CT015,C015,12/24/2026,06/13/2026,Active
CT016,C016,11/10/2026,01/16/2026,Active
CT017,C017,10/31/2026,01/21/2026,Active
CT018,C018,11/08/2026,08/19/2026,Active
CT019,C019,09/09/2026,09/30/2026,Active
CT020,C020,01/03/2026,10/20/2026,Active
CT021,C021,11/17/2026,09/03/2026,Active
CT022,C022,02/11/2026,07/24/2026,Active
CT023,C023,05/28/2026,02/09/2026,Active
CT024,C024,03/31/2026,11/16/2026,Active
CT025,C025,01/31/2026,10/24/2026,Active
CT026,C026,05/12/2026,05/30/2026,Active
CT027,C027,10/29/2026,02/13/2026,Active
CT028,C028,11/05/2026,09/15/2026,Active
CT029,C029,09/29/2026,07/05/2026,Active
CT030,C030,04/10/2026,05/15/2026,Active
CT031,C031,03/21/2026,12/18/2026,Active
CT032,C032,06/21/2026,06/24/2026,Active
CT033,C033,05/07/2026,11/17/2026,Active
CT034,C034,11/22/2026,10/05/2026,Active
CT035,C035,04/08/2026,08/19/2026,Active
CT036,C036,07/15/2026,09/08/2026,Active
CT037,C037,02/14/2026,11/04/2026,Active
CT038,C038,05/20/2026,12/02/2026,Active
CT039,C039,04/22/2026,05/19/2026,Active
CT040,C040,10/19/2026,06/21/2026,Active
CT041,C041,09/03/2026,09/24/2026,Active
CT042,C042,09/05/2026,11/17/2026,Active
CT043,C043,01/28/2026,04/27/2026,Active
CT044,C044,03/03/2026,10/06/2026,Active
CT045,C045,09/27/2026,06/05/2026,Active
CT046,C046,01/10/2026,08/16/2026,Active
CT047,C047,07/08/2026,09/14/2026,Active
CT048,C048,11/06/2026,08/08/2026,Active
CT049,C049,05/23/2026,08/18/2026,Active
CT050,C050,03/29/2026,12/17/2026,Active
