elevator_id,customer_id,model,serial_number,capacity
E001,C001,ISUZU X1,SN1001,8 Persons
E002,C002,ISUZU X2,SN1002,10 Persons
E003,C003,ISUZU X1,SN1001,8 Persons
E004,C004,ISUZU X1,SN1001,8 Persons
E005,C005,ISUZU X1,SN1001,8 Persons
E006,C006,ISUZU X1,SN1001,8 Persons
E007,C007,ISUZU X1,SN1001,8 Persons
E008,C008,ISUZU X1,SN1001,8 Persons
E009,C009,ISUZU X1,SN1001,8 Persons
E010,C010,ISUZU X1,SN1001,8 Persons
E011,C011,ISUZU X1,SN1001,8 Persons
E012,C012,ISUZU X1,SN1001,8 Persons
E013,C013,ISUZU X1,SN1001,8 Persons
E014,C014,ISUZU X1,SN1001,8 Persons
E015,C015,ISUZU X1,SN1001,8 Persons
E016,C016,ISUZU X1,SN1001,8 Persons
E017,C017,ISUZU X1,SN1001,8 Persons
E018,C018,ISUZU X1,SN1001,8 Persons
E019,C019,ISUZU X1,SN1001,8 Persons
E020,C020,ISUZU X1,SN1001,8 Persons
E021,C021,ISUZU X1,SN1001,8 Persons
E022,C022,ISUZU X1,SN1001,8 Persons
E023,C023,ISUZU X1,SN1001,8 Persons
E024,C024,ISUZU X1,SN1001,8 Persons
E025,C025,ISUZU X1,SN1001,8 Persons
E026,C026,ISUZU X1,SN1001,8 Persons
E027,C027,ISUZU X1,SN1001,8 Persons
E028,C028,ISUZU X1,SN1001,8 Persons
E029,C029,ISUZU X1,SN1001,8 Persons
E030,C030,ISUZU X1,SN1001,8 Persons
E031,C031,ISUZU X1,SN1001,8 Persons
E032,C032,ISUZU X1,SN1001,8 Persons
E033,C033,ISUZU X1,SN1001,8 Persons
E034,C034,ISUZU X1,SN1001,8 Persons
E035,C035,ISUZU X1,SN1001,8 Persons
E036,C036,ISUZU X1,SN1001,8 Persons
E037,C037,ISUZU X1,SN1001,8 Persons
E038,C038,ISUZU X1,SN1001,8 Persons
E039,C039,ISUZU X1,SN1001,8 Persons
E040,C040,ISUZU X1,SN1001,8 Persons
E041,C041,ISUZU X1,SN1001,8 Persons
E042,C042,ISUZU X1,SN1001,8 Persons
E043,C043,ISUZU X1,SN1001,8 Persons
E044,C044,ISUZU X1,SN1001,8 Persons
E045,C045,ISUZU X1,SN1001,8 Persons
E046,C046,ISUZU X1,SN1001,8 Persons
E047,C047,ISUZU X1,SN1001,8 Persons
E048,C048,ISUZU X1,SN1001,8 Persons
E049,C049,ISUZU X1,SN1001,8 Persons
E050,C050,ISUZU X1,SN1001,8 Persons
