expense_id,date,amount,description
EX001,03/25/2026,1739,Annual Maintenance
EX002,12/10/2026,1991,PCB Repair
EX003,11/09/2026,174,Bearing Replacement
EX004,08/17/2026,671,Door Sensor
EX005,01/09/2026,1367,Motor Repair
EX006,06/19/2026,910,Bearing Replacement
EX007,06/01/2026,673,Bearing Replacement
EX008,05/31/2026,433,Brake Repair
EX009,09/25/2026,1268,Bearing Replacement
EX010,10/29/2026,1689,Motor Repair
EX011,09/13/2026,1260,Bearing Replacement
EX012,03/19/2026,726,Annual Maintenance
EX013,10/14/2026,1609,Cable Replacement
EX014,02/08/2026,567,PCB Repair
EX015,12/27/2026,1584,Door Sensor
EX016,09/04/2026,424,Emergency Service
EX017,11/02/2026,1860,PCB Repair
EX018,07/19/2026,713,Door Sensor
EX019,10/25/2026,429,Motor Repair
EX020,07/06/2026,106,Bearing Replacement
EX021,04/26/2026,705,PCB Repair
EX022,04/19/2026,148,Annual Maintenance
EX023,04/16/2026,1533,Cable Replacement
EX024,01/15/2026,472,Cable Replacement
EX025,06/16/2026,1985,Annual Maintenance
EX026,02/19/2026,1186,Cable Replacement
EX027,05/07/2026,1604,Door Sensor
EX028,02/14/2026,355,Annual Maintenance
EX029,10/11/2026,1304,PCB Repair
EX030,10/23/2026,376,Emergency Service
EX031,10/10/2026,1270,Door Sensor
EX032,05/31/2026,1041,PCB Repair
EX033,07/31/2026,1438,Bearing Replacement
EX034,06/18/2026,1332,Emergency Service
EX035,03/09/2026,915,Brake Repair
EX036,02/17/2026,162,PCB Repair
EX037,11/27/2026,424,Bearing Replacement
EX038,01/09/2026,1351,Brake Repair
EX039,01/01/2026,323,Motor Repair
EX040,02/18/2026,1781,Brake Repair
EX041,04/20/2026,1959,Bearing Replacement
EX042,12/26/2026,377,PCB Repair
EX043,01/30/2026,545,Bearing Replacement
EX044,02/28/2026,1971,PCB Repair
EX045,06/20/2026,1579,Door Sensor
EX046,03/04/2026,1609,Door Sensor
EX047,01/01/2026,1745,Bearing Replacement
EX048,09/18/2026,1851,PCB Repair
EX049,06/19/2026,1853,Motor Repair
EX050,12/18/2026,1365,Door Sensor
