work_order_id,customer_id,elevator_id,technician,priority,status,due_date,remarks
WO001,C019,E031,T024,Medium,In Progress,09/05/2026,Emergency Service
WO002,C013,E035,T010,Medium,Completed,08/12/2026,Periodic Check
WO003,C003,E023,T035,High,Completed,02/23/2026,Sensor Problem
WO004,C020,E002,T038,Medium,Open,08/01/2026,Sensor Problem
WO005,C026,E047,T040,High,In Progress,03/28/2026,Motor Inspection
WO006,C041,E045,T013,Medium,Pending,10/08/2026,Emergency Service
WO007,C032,E017,T031,Medium,Completed,08/22/2026,Periodic Check
WO008,C015,E011,T029,Urgent,In Progress,08/25/2026,Periodic Check
WO009,C013,E046,T028,Low,Pending,07/02/2026,Emergency Service
WO010,C014,E037,T037,Urgent,In Progress,10/21/2026,Periodic Check
WO011,C031,E025,T046,High,In Progress,03/25/2026,Emergency Service
WO012,C040,E041,T015,High,Completed,09/11/2026,Sensor Problem
WO013,C004,E017,T011,Medium,Pending,11/24/2026,Routine Maintenance
WO014,C016,E016,T030,High,In Progress,04/10/2026,Door Issue
WO015,C003,E025,T038,Urgent,Pending,10/27/2026,Emergency Service
WO016,C050,E020,T044,Medium,Completed,07/22/2026,Sensor Problem
WO017,C015,E002,T024,Medium,Pending,11/20/2026,Motor Inspection
WO018,C033,E020,T039,Medium,Pending,04/11/2026,Emergency Service
WO019,C033,E019,T004,Low,Pending,01/27/2026,Routine Maintenance
WO020,C021,E014,T001,High,In Progress,08/19/2026,Sensor Problem
WO021,C012,E029,T029,Urgent,In Progress,05/08/2026,Periodic Check
WO022,C037,E015,T049,Medium,Completed,06/12/2026,Door Issue
WO023,C009,E039,T027,Medium,Pending,06/18/2026,Sensor Problem
WO024,C005,E041,T042,Medium,Completed,05/24/2026,Motor Inspection
WO025,C023,E038,T009,Low,Completed,07/22/2026,Motor Inspection
WO026,C023,E023,T037,Low,Open,01/28/2026,Sensor Problem
WO027,C025,E020,T045,Medium,In Progress,12/11/2026,Motor Inspection
WO028,C044,E030,T040,High,Pending,02/10/2026,Sensor Problem
WO029,C039,E033,T012,Medium,Completed,11/20/2026,Door Issue
WO030,C033,E026,T024,Urgent,Pending,12/30/2026,Sensor Problem
WO031,C018,E045,T044,High,Open,04/10/2026,Motor Inspection
WO032,C042,E021,T005,Urgent,Completed,07/10/2026,Motor Inspection
WO033,C028,E008,T048,Urgent,Pending,08/10/2026,Periodic Check
WO034,C036,E031,T048,Urgent,Open,03/11/2026,Door Issue
WO035,C018,E038,T037,Urgent,Completed,09/28/2026,Periodic Check
WO036,C039,E033,T028,Low,Open,01/27/2026,Sensor Problem
WO037,C025,E028,T001,High,Completed,12/31/2026,Routine Maintenance
WO038,C013,E009,T050,Low,In Progress,06/19/2026,Periodic Check
WO039,C015,E006,T028,Low,Completed,05/04/2026,Emergency Service
WO040,C043,E036,T020,Urgent,Open,06/19/2026,Emergency Service
WO041,C050,E001,T043,Low,Open,06/01/2026,Periodic Check
WO042,C004,E027,T023,Low,Completed,04/19/2026,Routine Maintenance
WO043,C001,E002,T027,High,Completed,03/28/2026,Routine Maintenance
WO044,C002,E027,T042,Urgent,In Progress,09/12/2026,Door Issue
WO045,C031,E032,T032,High,Open,11/24/2026,Sensor Problem
WO046,C046,E021,T038,Low,Open,06/10/2026,Periodic Check
WO047,C022,E043,T015,High,Pending,05/05/2026,Motor Inspection
WO048,C006,E041,T045,High,Completed,07/05/2026,Periodic Check
WO049,C040,E027,T033,Medium,Completed,11/26/2026,Periodic Check
WO050,C041,E007,T027,High,Open,07/13/2026,Motor Inspection
WO051,C033,E016,T029,Medium,Completed,12/05/2026,Routine Maintenance
WO052,C011,E037,T011,High,Pending,10/12/2026,Emergency Service
WO053,C042,E035,T023,Medium,Open,03/04/2026,Periodic Check
WO054,C001,E004,T006,Medium,Open,07/28/2026,Emergency Service
WO055,C033,E008,T024,Low,Open,05/18/2026,Motor Inspection
WO056,C023,E023,T030,Urgent,In Progress,03/22/2026,Routine Maintenance
WO057,C016,E008,T017,Medium,Completed,12/15/2026,Routine Maintenance
WO058,C005,E011,T032,Medium,Completed,11/28/2026,Motor Inspection
WO059,C025,E027,T020,Medium,Completed,05/06/2026,Emergency Service
WO060,C047,E015,T034,High,In Progress,02/13/2026,Door Issue
